despachos,Ano,Quantidade
Quantidade,2010,17946
Quantidade,2011,18553
Quantidade,2012,19551
Quantidade,2013,20020
Quantidade,2014,20135
Quantidade,2015,19171
Quantidade,2016,19753
Quantidade,2017,19428
Quantidade,2018,19594
Quantidade,2019,19075
Prazo médio (dias),2010,78000
Prazo médio (dias),2011,69000
Prazo médio (dias),2012,65000
Prazo médio (dias),2013,70000
Prazo médio (dias),2014,66000
Prazo médio (dias),2015,64000
Prazo médio (dias),2016,65000
Prazo médio (dias),2017,72000
Prazo médio (dias),2018,69000
Prazo médio (dias),2019,67000
