exercicios,receitas,transferencias_do_tesouro,outras_receitas,total_da_receita_do_ano,reversao_de_diferimento_de_receitas_saldos_de_exercicios_anteriores,total
2021,R$,1693258505,91327446,1784585951,NA,1784.585951
2020,R$,1405370233,35924513,1441294746,NA,1441.294746
2019,R$,1350534401,102661381,1453195782,NA,1453.195782
2018,R$,1179770909,190507777,1370278686,NA,1370.278686
2017,R$,1111410356,227584193,1338994548,NA,1338.994548
2016,R$,1057714553,245520259,1303234812,40963090,1344.197903
2015,R$,1045335371,105405812,1150741183,199347751,1350.088934
2014,R$,998745173,181061609,1179806782,42714928,1222.52171
2013,R$,957047596,83040285,1040087881,128242760,1168.330641
2012,R$,893844658,120672942,1014517599,76401019,1090.918618
2011,R$,830180998,202371318,NA,NA,1032.552316
2010,R$,754697237,105373726,NA,NA,860.070963
2009,R$,642603884,91945110,NA,NA,734.548994
2008,R$,623367940,145968466,NA,NA,769.336406
2007,R$,519757716,112692827,NA,NA,632.450543
2006,R$,463471016,132028702,NA,NA,595.499718
2005,R$,415836685,175783357,NA,NA,591.620042
2004,R$,377304072,142716844,NA,NA,520.020916
2003,R$,320758535,144443222,NA,NA,465.201757
2002,R$,301408276,117733497,NA,NA,419.141773
2001,R$,271398669,124345125,NA,NA,395.743794
2000,R$,231984308,150180302,NA,NA,382.16461
1999,R$,197595730,225142040,NA,NA,422.73777
1998,R$,188203640,209139579,NA,NA,397.343219
1997,R$,187521507,163549400,NA,NA,351.070907
1996,R$,178650600,158693271,NA,NA,337.343871
1995,R$,189925509,189703029,NA,NA,379.628538
1994,R$,27007411,268431418,NA,NA,295.438829
